,Date,jci_vavs_air_flow_cfm,office_zone_temps_avg_F,out_temp_F,rtu_cooling_pid,rtu_power,rtu_supply_air_static_pressure_inchwc,rtu_supply_air_temp_F,trane_vavs_air_flow_cfm
0,2022-06-13 00:00:00,275.0,73.9,60.2,0.0,359.0,0.0319,72.2,0.0
5,2022-06-13 00:01:00,297.0,73.9,60.2,0.0,359.0,0.0319,72.2,0.0
8,2022-06-13 00:01:00,304.3333333333333,73.9,60.2,0.0,359.0,0.0319,72.16666666666667,0.0
9,2022-06-13 00:01:00,319.0,73.9,60.2,0.0,359.6666666666667,0.0319,72.13333333333334,0.0
10,2022-06-13 00:02:00,321.3333333333333,73.9,60.2,0.0,360.3333333333333,0.0319,72.1,0.0
11,2022-06-13 00:02:00,323.6666666666667,73.9,60.166666666666664,0.0,361.0,0.0319,72.1,0.0
13,2022-06-13 00:02:00,326.0,73.9,60.13333333333333,0.0,361.0,0.03183333333333333,72.1,0.0
14,2022-06-13 00:02:00,326.0,73.9,60.1,0.0,361.3333333333333,0.031766666666666665,72.1,0.0
15,2022-06-13 00:03:00,308.6666666666667,73.9,60.1,0.0,361.6666666666667,0.0317,72.1,0.0
18,2022-06-13 00:03:00,291.3333333333333,73.9,60.1,0.0,362.0,0.031766666666666665,72.1,0.0
19,2022-06-13 00:03:00,274.0,73.9,60.1,0.0,361.6666666666667,0.03183333333333333,72.1,0.0
20,2022-06-13 00:04:00,273.3333333333333,73.9,60.1,0.0,361.3333333333333,0.0319,72.1,0.0
23,2022-06-13 00:04:00,272.6666666666667,73.9,60.1,0.0,361.0,0.03186666666666667,72.06666666666666,0.0
24,2022-06-13 00:04:00,272.0,73.9,60.1,0.0,361.3333333333333,0.03183333333333333,72.03333333333333,0.0
25,2022-06-13 00:05:00,272.6666666666667,73.9,60.1,0.0,361.6666666666667,0.0318,72.0,0.0
28,2022-06-13 00:05:00,273.3333333333333,73.9,60.1,0.0,362.0,0.03183333333333333,72.0,0.0
30,2022-06-13 00:06:00,273.3333333333333,73.9,60.1,0.0,362.0,0.03186666666666667,72.0,0.0
31,2022-06-13 00:06:00,272.6666666666667,73.9,60.06666666666666,0.0,362.0,0.0319,72.0,0.0
33,2022-06-13 00:06:00,272.0,73.9,60.03333333333334,0.0,362.0,0.03183333333333333,72.0,0.0
35,2022-06-13 00:07:00,272.3333333333333,73.9,60.0,0.0,362.0,0.031766666666666665,72.0,0.0
40,2022-06-13 00:08:00,290.3333333333333,73.9,60.0,0.0,362.0,0.0317,72.0,0.0
43,2022-06-13 00:08:00,308.3333333333333,73.9,60.0,0.0,362.0,0.0317,71.96666666666667,0.0
44,2022-06-13 00:08:00,326.0,73.9,60.0,0.0,361.6666666666667,0.0317,71.93333333333334,0.0
45,2022-06-13 00:09:00,323.3333333333333,73.9,60.0,0.0,361.3333333333333,0.0317,71.9,0.0
49,2022-06-13 00:09:00,320.6666666666667,73.9,60.0,0.0,362.0,0.0317,71.9,0.0
50,2022-06-13 00:10:00,303.3333333333333,73.9,60.0,0.0,363.0,0.0317,71.9,0.0
53,2022-06-13 00:10:00,288.6666666666667,73.9,60.0,0.0,364.0,0.031766666666666665,71.9,0.0
55,2022-06-13 00:11:00,274.3333333333333,73.9,60.0,0.0,364.0,0.03183333333333333,71.9,0.0
59,2022-06-13 00:11:00,274.6666666666667,73.9,60.0,0.0,363.6666666666667,0.0319,71.9,0.0
60,2022-06-13 00:12:00,292.3333333333333,73.9,60.0,0.0,363.3333333333333,0.0319,71.9,0.0
61,2022-06-13 00:12:00,309.6666666666667,73.9,59.96666666666667,0.0,363.0,0.0319,71.9,0.0
64,2022-06-13 00:12:00,327.0,73.9,59.93333333333334,0.0,362.6666666666667,0.0319,71.9,0.0
65,2022-06-13 00:13:00,309.6666666666667,73.9,59.9,0.0,362.3333333333333,0.0319,71.9,0.0
