Date,rtu_power,out_temp_F,office_zone_temps_avg_F,rtu_cooling_pid,rtu_supply_air_static_pressure_inchwc,rtu_supply_air_temp_F,trane_vavs_air_flow_cfm,jci_vavs_air_flow_cfm
6/13/2022 0:00,,,,,,,0,275
6/13/2022 0:00,,60.2,,,,,,
6/13/2022 0:00,,,73.9,,,,,
6/13/2022 0:00,,,,0,0.0319,72.2,,
6/13/2022 0:00,359,,,,,,,
6/13/2022 0:01,,,,,,,0,319
6/13/2022 0:01,,60.2,,,,,,
6/13/2022 0:01,,,73.9,,,,,
6/13/2022 0:01,,,,0,0.0319,72.1,,
6/13/2022 0:01,361,,,,,,,
6/13/2022 0:02,,,,,,,0,326
6/13/2022 0:02,,60.1,,,,,,
6/13/2022 0:02,,,73.9,,,,,
6/13/2022 0:02,,,,0,0.0317,72.1,,
6/13/2022 0:02,362,,,,,,,
6/13/2022 0:03,,,,,,,0,274
6/13/2022 0:03,,60.1,,,,,,
6/13/2022 0:03,,,73.9,,,,,
6/13/2022 0:03,,,,0,0.0319,72.1,,
6/13/2022 0:03,361,,,,,,,
6/13/2022 0:04,,,,,,,0,272
6/13/2022 0:04,,60.1,,,,,,
6/13/2022 0:04,,,73.9,,,,,
6/13/2022 0:04,,,,0,0.0318,72,,
6/13/2022 0:04,362,,,,,,,
6/13/2022 0:05,,,,,,,0,274
6/13/2022 0:05,,60.1,,,,,,
6/13/2022 0:05,,,73.9,,,,,
6/13/2022 0:05,,,,0,0.0319,72,,
6/13/2022 0:05,362,,,,,,,
6/13/2022 0:06,,,,,,,0,272
6/13/2022 0:06,,60,,,,,,
6/13/2022 0:06,,,73.9,,,,,
6/13/2022 0:06,,,,0,0.0317,72,,
6/13/2022 0:06,362,,,,,,,
6/13/2022 0:07,,,,,,,0,273
6/13/2022 0:07,,60,,,,,,
6/13/2022 0:07,,,73.9,,,,,
6/13/2022 0:07,,,,0,0.0317,72,,
6/13/2022 0:07,362,,,,,,,
6/13/2022 0:08,,,,,,,0,326
6/13/2022 0:08,,60,,,,,,
6/13/2022 0:08,,,73.9,,,,,
6/13/2022 0:08,,,,0,0.0317,71.9,,
6/13/2022 0:08,361,,,,,,,
6/13/2022 0:09,,,,,,,0,318
6/13/2022 0:09,,60,,,,,,
6/13/2022 0:09,,,73.9,,,,,
6/13/2022 0:09,,,,0,0.0317,71.9,,
6/13/2022 0:09,364,,,,,,,
6/13/2022 0:10,,,,,,,0,274
6/13/2022 0:10,,60,,,,,,
6/13/2022 0:10,,,73.9,,,,,
6/13/2022 0:10,,,,0,0.0319,71.9,,
6/13/2022 0:10,364,,,,,,,
6/13/2022 0:11,,,,,,,0,275
6/13/2022 0:11,,60,,,,,,
6/13/2022 0:11,,,73.9,,,,,
6/13/2022 0:11,,,,0,0.0319,71.9,,
6/13/2022 0:11,363,,,,,,,
6/13/2022 0:12,,,,,,,0,327
6/13/2022 0:12,,59.9,,,,,,
6/13/2022 0:12,,,73.9,,,,,
6/13/2022 0:12,,,,0,0.0319,71.9,,
6/13/2022 0:12,362,,,,,,,
6/13/2022 0:13,,,,,,,0,275
6/13/2022 0:13,,59.9,,,,,,
6/13/2022 0:13,,,73.9,,,,,
6/13/2022 0:13,,,,0,0.0317,71.8,,
6/13/2022 0:13,360,,,,,,,
6/13/2022 0:14,,,,,,,0,275
6/13/2022 0:14,,59.9,,,,,,
6/13/2022 0:14,,,73.9,,,,,
6/13/2022 0:14,,,,0,0.0317,71.8,,
6/13/2022 0:14,363,,,,,,,
6/13/2022 0:15,,,,,,,0,325
6/13/2022 0:15,,59.8,,,,,,
6/13/2022 0:15,,,73.9,,,,,
6/13/2022 0:15,,,,0,0.0319,71.8,,
6/13/2022 0:15,364,,,,,,,
6/13/2022 0:16,,,,,,,0,275
6/13/2022 0:16,,59.8,,,,,,
6/13/2022 0:16,,,73.9,,,,,
6/13/2022 0:16,,,,0,0.0319,71.8,,
6/13/2022 0:16,362,,,,,,,
6/13/2022 0:17,,,,,,,0,326
6/13/2022 0:17,,59.7,,,,,,
6/13/2022 0:17,,,73.9,,,,,
6/13/2022 0:17,,,,0,0.0318,71.8,,
6/13/2022 0:17,362,,,,,,,
6/13/2022 0:18,,,,,,,0,273
6/13/2022 0:18,,59.7,,,,,,
6/13/2022 0:18,,,73.9,,,,,
6/13/2022 0:18,,,,0,0.0317,71.8,,
6/13/2022 0:18,362,,,,,,,
6/13/2022 0:19,,,,,,,0,326
6/13/2022 0:19,,59.7,,,,,,
6/13/2022 0:19,,,73.9,,,,,
6/13/2022 0:19,,,,0,0.0317,71.7,,
6/13/2022 0:19,362,,,,,,,
6/13/2022 0:20,,,,,,,0,325
6/13/2022 0:20,,59.7,,,,,,
6/13/2022 0:20,,,73.9,,,,,
6/13/2022 0:20,,,,0,0.0317,71.7,,
6/13/2022 0:20,359,,,,,,,
6/13/2022 0:21,,,,,,,0,275
6/13/2022 0:21,,59.6,,,,,,
6/13/2022 0:21,,,73.9,,,,,
6/13/2022 0:21,,,,0,0.0318,71.7,,
6/13/2022 0:21,360,,,,,,,
6/13/2022 0:22,,,,,,,0,325
6/13/2022 0:22,,59.6,,,,,,
6/13/2022 0:22,,,73.9,,,,,
6/13/2022 0:22,,,,0,0.0318,71.7,,
6/13/2022 0:22,361,,,,,,,
6/13/2022 0:23,,,,,,,0,328
6/13/2022 0:23,,59.6,,,,,,
6/13/2022 0:23,,,73.9,,,,,
6/13/2022 0:23,,,,0,0.0319,71.7,,
6/13/2022 0:23,361,,,,,,,
6/13/2022 0:24,,,,,,,0,276
6/13/2022 0:24,,59.6,,,,,,
6/13/2022 0:24,,,73.9,,,,,
6/13/2022 0:24,,,,0,0.032,71.6,,
6/13/2022 0:24,360,,,,,,,
6/13/2022 0:25,,,,,,,0,328
6/13/2022 0:25,,59.5,,,,,,
6/13/2022 0:25,,,73.9,,,,,
6/13/2022 0:25,,,,0,0.0318,71.6,,
6/13/2022 0:25,362,,,,,,,
6/13/2022 0:26,,,,,,,0,328
6/13/2022 0:26,,59.5,,,,,,
6/13/2022 0:26,,,73.8,,,,,
6/13/2022 0:26,,,,0,0.0317,71.6,,
6/13/2022 0:26,361,,,,,,,
6/13/2022 0:27,,,,,,,0,327
6/13/2022 0:27,,59.5,,,,,,
6/13/2022 0:27,,,73.8,,,,,
6/13/2022 0:27,,,,0,0.0319,71.6,,
6/13/2022 0:27,361,,,,,,,
6/13/2022 0:28,,,,,,,0,275
6/13/2022 0:28,,59.5,,,,,,
6/13/2022 0:28,,,73.8,,,,,
6/13/2022 0:28,,,,0,0.0319,71.5,,
6/13/2022 0:28,362,,,,,,,
6/13/2022 0:29,,,,,,,0,327
6/13/2022 0:29,,59.4,,,,,,
6/13/2022 0:29,,,73.8,,,,,
6/13/2022 0:29,,,,0,0.0318,71.5,,
6/13/2022 0:29,362,,,,,,,
6/13/2022 0:30,,,,,,,0,328
6/13/2022 0:30,,59.4,,,,,,
6/13/2022 0:30,,,73.8,,,,,
6/13/2022 0:30,,,,0,0.0319,71.4,,
6/13/2022 0:30,364,,,,,,,
6/13/2022 0:31,,,,,,,0,275
6/13/2022 0:31,,59.4,,,,,,
6/13/2022 0:31,,,73.8,,,,,
6/13/2022 0:31,,,,0,0.0318,71.5,,
6/13/2022 0:31,362,,,,,,,
6/13/2022 0:32,,,,,,,0,276
6/13/2022 0:32,,59.3,,,,,,
6/13/2022 0:32,,,73.8,,,,,
6/13/2022 0:32,,,,0,0.0317,71.4,,
6/13/2022 0:32,362,,,,,,,
6/13/2022 0:33,,,,,,,0,275
6/13/2022 0:33,,59.3,,,,,,
6/13/2022 0:33,,,73.8,,,,,
6/13/2022 0:33,,,,0,0.0317,71.4,,
6/13/2022 0:33,363,,,,,,,
6/13/2022 0:34,,,,,,,0,328
6/13/2022 0:34,,59.3,,,,,,
6/13/2022 0:34,,,73.8,,,,,
6/13/2022 0:34,,,,0,0.0319,71.4,,
6/13/2022 0:34,361,,,,,,,
6/13/2022 0:35,,,,,,,0,275
6/13/2022 0:35,,59.3,,,,,,
6/13/2022 0:35,,,73.8,,,,,
6/13/2022 0:35,,,,0,0.0317,71.4,,
6/13/2022 0:35,361,,,,,,,
6/13/2022 0:36,,,,,,,0,328
6/13/2022 0:36,,59.2,,,,,,
6/13/2022 0:36,,,73.8,,,,,
6/13/2022 0:36,,,,0,0.0319,71.3,,
6/13/2022 0:36,361,,,,,,,
6/13/2022 0:37,,,,,,,0,328
6/13/2022 0:37,,59.2,,,,,,
6/13/2022 0:37,,,73.8,,,,,
6/13/2022 0:37,,,,0,0.0319,71.4,,
6/13/2022 0:37,365,,,,,,,
6/13/2022 0:38,,,,,,,0,327
6/13/2022 0:38,,59.2,,,,,,
6/13/2022 0:38,,,73.8,,,,,
6/13/2022 0:38,,,,0,0.0319,71.3,,
6/13/2022 0:38,361,,,,,,,
6/13/2022 0:39,,,,,,,0,274
6/13/2022 0:39,,59.2,,,,,,
6/13/2022 0:39,,,73.8,,,,,
6/13/2022 0:39,,,,0,0.0317,71.4,,
